@iot.selfLink;@iot.id;description;encodingType;feature;name;Observations@iot.navigationLink
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(1);1;A nice place on Earth;application/geo+json;"{""type"":""Point"",""coordinates"":[11.509234,48.110728]}";Munich;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(1)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(2);2;A nicer place on Earth;application/geo+json;"{""type"":""Point"",""coordinates"":[2.15899,41.38879]}";Barcelona;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(2)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(3);3;Next to Cardener river;application/geo+json;"{""type"":""Point"",""coordinates"":[1.78108,41.78143]}";Callus;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(3)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(4);4;A hot and humid place on Earth;application/geo+json;"{""type"":""Point"",""coordinates"":[103.892492,1.31969]}";Singapore;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(4)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(5);5;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(5)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(6);6;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(6)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(7);7;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(7)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(8);8;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(8)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(9);9;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(9)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(10);10;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(10)/Observations
http://localhost:8080/staplus/v1.1/FeaturesOfInterest(11);11;Next to Cardener river;application/geo+json;"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[1.78108,41.78143]}}";Next to Cardener river;http://localhost:8080/staplus/v1.1/FeaturesOfInterest(11)/Observations
