"dia","estaci","nivell_absolut","percentatge_volum_embassat","volum_embassat"
"2024-06-26T00:00:00.000","Embassament de Sau (Vilanova de Sau)","405.27","44.5","73.46"
"2024-06-26T00:00:00.000","Embassament de Susqueda (Osor)","314.66","34.7","80.9"
"2024-06-26T00:00:00.000","Embassament de Darnius Boadella (Darnius)","139","22.9","14"
"2024-06-26T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.04","2.1","0.25"
"2024-06-26T00:00:00.000","Embassament de la Baells (Cercs)","611.89","51","55.77"
"2024-06-26T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.11","34.6","8.43"
"2024-06-26T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.37","67.5","2.52"
"2024-06-26T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","775.67","27.8","22.21"
"2024-06-26T00:00:00.000","Embassament de Riudecanyes","194.02","2.2","0.12"
"2024-06-25T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.41","68","2.54"
"2024-06-25T00:00:00.000","Embassament de Riudecanyes","194.04","2.2","0.12"
"2024-06-25T00:00:00.000","Embassament de Susqueda (Osor)","314.44","34.5","80.3"
"2024-06-25T00:00:00.000","Embassament de Darnius Boadella (Darnius)","139.02","23","14.03"
"2024-06-25T00:00:00.000","Embassament de la Baells (Cercs)","611.87","50.9","55.73"
"2024-06-25T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.15","34.7","8.47"
"2024-06-25T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.07","2.1","0.26"
"2024-06-25T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","775.66","27.7","22.2"
"2024-06-25T00:00:00.000","Embassament de Sau (Vilanova de Sau)","405.42","44.8","73.98"
"2024-06-24T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.09","2.1","0.26"
"2024-06-24T00:00:00.000","Embassament de Riudecanyes","194.05","2.2","0.12"
"2024-06-24T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.19","34.8","8.5"
"2024-06-24T00:00:00.000","Embassament de Darnius Boadella (Darnius)","139.03","23","14.04"
"2024-06-24T00:00:00.000","Embassament de Susqueda (Osor)","314.14","34.1","79.49"
"2024-06-24T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.44","68.4","2.56"
"2024-06-24T00:00:00.000","Embassament de la Baells (Cercs)","611.83","50.8","55.63"
"2024-06-24T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","775.65","27.7","22.19"
